time_ms,w,a,s,d,w_down,a_down,s_down,d_down,space,ctrl,shift,mouse1,mouse2,status
150.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
151.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
152.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
153.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
154.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
155.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
156.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
157.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
158.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
159.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
160.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
161.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
162.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
163.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
164.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
165.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
166.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
167.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
168.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
169.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
170.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
